Nro.Región,Región,Comuna,Inscritos,Votación,Participacion_pct
1,DE TARAPACA,ALTO HOSPICIO,41782,14979,35.85036618639605
1,DE TARAPACA,CAMIÑA,2754,832,30.21060275962237
1,DE TARAPACA,COLCHANE,2601,564,21.68396770472895
1,DE TARAPACA,HUARA,9135,1697,18.576902025177887
1,DE TARAPACA,IQUIQUE,150936,62012,41.084963163195
1,DE TARAPACA,PICA,4567,2181,47.7556382745785
1,DE TARAPACA,POZO ALMONTE,10249,3852,37.58415455166358
2,DE ANTOFAGASTA,ANTOFAGASTA,245068,102596,41.86429888847177
2,DE ANTOFAGASTA,CALAMA,117744,51757,43.95722924310368
2,DE ANTOFAGASTA,MARIA ELENA,7013,2177,31.04234992157422
2,DE ANTOFAGASTA,MEJILLONES,8448,3774,44.67329545454545
2,DE ANTOFAGASTA,OLLAGUE,1598,242,15.143929912390488
2,DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,5198,2520,48.48018468641786
2,DE ANTOFAGASTA,SIERRA GORDA,2832,667,23.55225988700565
2,DE ANTOFAGASTA,TALTAL,9634,4111,42.67178741955574
2,DE ANTOFAGASTA,TOCOPILLA,21466,8827,41.12084226218206
3,DE ATACAMA,ALTO DEL CARMEN,4791,2294,47.881444374869545
3,DE ATACAMA,CALDERA,12797,5944,46.448386340548566
3,DE ATACAMA,CHAÑARAL,11648,4980,42.754120879120876
3,DE ATACAMA,COPIAPO,111001,48649,43.82753308528752
3,DE ATACAMA,DIEGO DE ALMAGRO,14292,5327,37.27260005597537
3,DE ATACAMA,FREIRINA,5439,2735,50.28497885640743
3,DE ATACAMA,HUASCO,7614,3775,49.57972156553716
3,DE ATACAMA,TIERRA AMARILLA,10905,5558,50.967446125630445
3,DE ATACAMA,VALLENAR,43119,19900,46.15134859342749
4,DE COQUIMBO,ANDACOLLO,10965,5728,52.23894208846329
4,DE COQUIMBO,CANELA,8434,4509,53.46217690301162
4,DE COQUIMBO,COMBARBALA,12103,6119,50.557712963727994
4,DE COQUIMBO,COQUIMBO,142497,65726,46.12447981361011
4,DE COQUIMBO,ILLAPEL,26107,12736,48.78385107442448
4,DE COQUIMBO,LA HIGUERA,3997,2101,52.56442331748812
4,DE COQUIMBO,LA SERENA,147768,72513,49.07219425044664
4,DE COQUIMBO,LOS VILOS,16649,8155,48.98192083608625
4,DE COQUIMBO,MONTE PATRIA,25894,12700,49.04611106820113
4,DE COQUIMBO,OVALLE,83802,39070,46.62179900241044
4,DE COQUIMBO,PAIHUANO,4525,2350,51.93370165745856
4,DE COQUIMBO,PUNITAQUI,9696,5035,51.9286303630363
4,DE COQUIMBO,RIO HURTADO,4660,2379,51.05150214592275
4,DE COQUIMBO,SALAMANCA,21022,10268,48.84406811911331
4,DE COQUIMBO,VICUÑA,20686,10375,50.15469399593928
5,DE VALPARAISO,ALGARROBO,10793,5962,55.239507087927365
5,DE VALPARAISO,CABILDO,17255,8905,51.60822949869603
5,DE VALPARAISO,CALERA,42762,21811,51.00556568916328
