Nro.Región,Región,Comuna,Inscritos,Votación,Participacion_pct
1,DE TARAPACA,ALTO HOSPICIO,51451,18684,36.314162990029345
1,DE TARAPACA,CAMIÑA,2820,764,27.092198581560282
1,DE TARAPACA,COLCHANE,3379,646,19.118082272861795
1,DE TARAPACA,HUARA,9046,1571,17.366791952244085
1,DE TARAPACA,IQUIQUE,160432,67854,42.29455470230378
1,DE TARAPACA,PICA,5000,2405,48.1
1,DE TARAPACA,POZO ALMONTE,11215,4322,38.53767275969683
2,DE ANTOFAGASTA,ANTOFAGASTA,264504,108615,41.06365121132384
2,DE ANTOFAGASTA,CALAMA,125030,50589,40.461489242581784
2,DE ANTOFAGASTA,MARIA ELENA,6607,1632,24.701074617829573
2,DE ANTOFAGASTA,MEJILLONES,9058,3679,40.61603002870391
2,DE ANTOFAGASTA,OLLAGUE,2027,265,13.073507646768622
2,DE ANTOFAGASTA,SAN PEDRO DE ATACAMA,5903,2521,42.707098085719124
2,DE ANTOFAGASTA,SIERRA GORDA,3588,722,20.122630992196207
2,DE ANTOFAGASTA,TALTAL,10133,3978,39.25787032468173
2,DE ANTOFAGASTA,TOCOPILLA,21912,8281,37.79207740051114
3,DE ATACAMA,ALTO DEL CARMEN,4786,1927,40.2632678646051
3,DE ATACAMA,CALDERA,13921,6153,44.19941096185619
3,DE ATACAMA,CHAÑARAL,11818,5052,42.748349974614996
3,DE ATACAMA,COPIAPO,117897,51897,44.01893177943459
3,DE ATACAMA,DIEGO DE ALMAGRO,13938,4793,34.38800401779309
3,DE ATACAMA,FREIRINA,5682,2663,46.86730024639211
3,DE ATACAMA,HUASCO,8030,3601,44.84433374844334
3,DE ATACAMA,TIERRA AMARILLA,12577,5444,43.28536216903872
3,DE ATACAMA,VALLENAR,44821,19342,43.15387876218737
4,DE COQUIMBO,ANDACOLLO,11040,5160,46.73913043478261
4,DE COQUIMBO,CANELA,8778,4098,46.684894053315105
4,DE COQUIMBO,COMBARBALA,12406,5409,43.5998710301467
4,DE COQUIMBO,COQUIMBO,156212,68739,44.00366169052313
4,DE COQUIMBO,ILLAPEL,27019,12098,44.77589844183723
4,DE COQUIMBO,LA HIGUERA,4162,1822,43.777030273906774
4,DE COQUIMBO,LA SERENA,160944,76372,47.452530072571825
4,DE COQUIMBO,LOS VILOS,17434,7747,44.436159229092574
4,DE COQUIMBO,MONTE PATRIA,27066,11007,40.667257814231874
4,DE COQUIMBO,OVALLE,88386,36512,41.309709682528904
4,DE COQUIMBO,PAIHUANO,4769,2156,45.208639127699726
4,DE COQUIMBO,PUNITAQUI,10130,4565,45.06416584402764
4,DE COQUIMBO,RIO HURTADO,4739,2000,42.2029964127453
4,DE COQUIMBO,SALAMANCA,22174,9632,43.43826102642735
4,DE COQUIMBO,VICUÑA,22062,9966,45.17269513190101
5,DE VALPARAISO,ALGARROBO,11810,6329,53.59017781541067
5,DE VALPARAISO,CABILDO,17830,8331,46.724621424565335
5,DE VALPARAISO,CALERA,44286,20524,46.344217134083
5,DE VALPARAISO,CALLE LARGA,10666,5480,51.378211138196136
5,DE VALPARAISO,CARTAGENA,17294,8401,48.577541343818666
5,DE VALPARAISO,CASABLANCA,21299,10239,48.072679468519645
5,DE VALPARAISO,CATEMU,11716,5411,46.18470467736429
5,DE VALPARAISO,CONCON,35636,20565,57.70849702547986
5,DE VALPARAISO,EL QUISCO,11681,6082,52.067459977741635
5,DE VALPARAISO,EL TABO,9295,4942,53.16837009144702
5,DE VALPARAISO,HIJUELAS,14810,6685,45.138419986495606
5,DE VALPARAISO,ISLA DE PASCUA,5302,1981,37.36325914749151
5,DE VALPARAISO,JUAN FERNANDEZ,853,307,35.990621336459554
5,DE VALPARAISO,LA CRUZ,14333,7692,53.666364334054286
5,DE VALPARAISO,LA LIGUA,29355,14765,50.29807528530063
5,DE VALPARAISO,LIMACHE,37014,17408,47.03085319068461
5,DE VALPARAISO,LLAY-LLAY,20097,9631,47.92257550878241
5,DE VALPARAISO,LOS ANDES,54875,26340,48.0
5,DE VALPARAISO,NOGALES,19211,9047,47.09281141012961
5,DE VALPARAISO,OLMUE,15216,7297,47.95609884332282
5,DE VALPARAISO,PANQUEHUE,6197,3097,49.975794739390025
5,DE VALPARAISO,PAPUDO,5305,2993,56.41847313854854
5,DE VALPARAISO,PETORCA,9119,4188,45.92608838688453
5,DE VALPARAISO,PUCHUNCAVI,14026,6642,47.35491230571795
5,DE VALPARAISO,PUTAENDO,13290,5964,44.87584650112867
5,DE VALPARAISO,QUILLOTA,73240,34042,46.4800655379574
5,DE VALPARAISO,QUILPUE,129100,63140,48.907823392718825
5,DE VALPARAISO,QUINTERO,22754,10695,47.002724795640326
5,DE VALPARAISO,RINCONADA,8675,4399,50.70893371757925
5,DE VALPARAISO,SAN ANTONIO,77270,37628,48.696777533324706
5,DE VALPARAISO,SAN ESTEBAN,14204,7382,51.971275696986766
5,DE VALPARAISO,SAN FELIPE,58965,27722,47.01433053506317
5,DE VALPARAISO,SANTA MARIA,11567,5769,49.8746433820351
5,DE VALPARAISO,SANTO DOMINGO,10455,6392,61.138211382113816
5,DE VALPARAISO,VALPARAISO,285301,120441,42.215414597214874
5,DE VALPARAISO,VILLA ALEMANA,93284,46332,49.66768148878693
5,DE VALPARAISO,VIÑA DEL MAR,295845,137327,46.418563774949725
5,DE VALPARAISO,ZAPALLAR,7356,4137,56.239804241435564
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,13377,5566,41.608731404649774
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,29249,14432,49.34185784129372
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,10799,5039,46.66172793777202
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COINCO,6809,3122,45.85107945366427
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,15198,6771,44.55191472562179
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DOÑIHUE,17461,8115,46.475001431762216
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,25837,12777,49.45233579749971
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LA ESTRELLA,3458,1659,47.97570850202429
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,19230,8592,44.680187207488295
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,5912,2817,47.648849797023004
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,6554,2952,45.04119621605127
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALI,32912,17284,52.51579970831308
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MALLOA,11885,5862,49.322675641565
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MARCHIGUE,6570,3024,46.02739726027397
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,19782,9686,48.963704377717114
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,14681,7045,47.987194332811114
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,NAVIDAD,5779,2844,49.212666551306455
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,OLIVAR,11900,5987,50.3109243697479
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,10094,4897,48.51396869427382
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PAREDONES,6587,2932,44.51191741308638
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,9766,4473,45.80176121236945
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PEUMO,12468,6196,49.69521976259224
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,16114,7329,45.482189400521285
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,13345,7019,52.596478081678534
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,7930,4186,52.78688524590164
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,3833,1784,46.54317766762327
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,11916,6521,54.724739845585766
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,189939,89644,47.19620509742602
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,47074,22713,48.24956451544377
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,21771,10449,47.995039272426624
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,60962,30726,50.401889701781435
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,38951,17908,45.97571307540243
6,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,30272,13516,44.6485200845666
7,DEL MAULE,CAUQUENES,37336,17217,46.11367045211056
7,DEL MAULE,CHANCO,9193,4459,48.50429674752529
7,DEL MAULE,COLBUN,17015,8622,50.6729356450191
7,DEL MAULE,CONSTITUCION,38901,17949,46.14020205136114
7,DEL MAULE,CUREPTO,10152,4582,45.13396375098503
7,DEL MAULE,CURICO,112702,57127,50.68854146332807
7,DEL MAULE,EMPEDRADO,4332,2230,51.47737765466297
7,DEL MAULE,HUALAÑE,9318,4732,50.783429920583814
7,DEL MAULE,LICANTEN,6787,3298,48.5928981877118
7,DEL MAULE,LINARES,80185,35762,44.599363970817485
7,DEL MAULE,LONGAVI,25681,10963,42.689147618862194
7,DEL MAULE,MAULE,20151,9821,48.73703538285941
7,DEL MAULE,MOLINA,37949,18608,49.03423015099212
7,DEL MAULE,PARRAL,37035,17240,46.550560280815446
7,DEL MAULE,PELARCO,8097,3836,47.37557119920958
7,DEL MAULE,PELLUHUE,6851,3676,53.65640052547074
7,DEL MAULE,PENCAHUE,10231,5319,51.989052878506506
7,DEL MAULE,RAUCO,9446,4700,49.75651069235656
7,DEL MAULE,RETIRO,16427,7931,48.28027028672307
7,DEL MAULE,RIO CLARO,11245,5452,48.48377056469542
7,DEL MAULE,ROMERAL,13178,6752,51.23691000151768
7,DEL MAULE,SAGRADA FAMILIA,15366,7795,50.728881947156054
7,DEL MAULE,SAN CLEMENTE,35529,16578,46.6604745419235
7,DEL MAULE,SAN JAVIER,37641,17076,45.36542599824659
7,DEL MAULE,SAN RAFAEL,7847,4059,51.726774563527464
7,DEL MAULE,TALCA,174921,88083,50.35587493782908
7,DEL MAULE,TENO,23742,10467,44.08642911296437
7,DEL MAULE,VICHUQUEN,4965,2409,48.51963746223565
7,DEL MAULE,VILLA ALEGRE,13069,6302,48.22098094727983
7,DEL MAULE,YERBAS BUENAS,13995,6730,48.088603072525906
8,DEL BIOBIO,ALTO BIOBIO,5290,1876,35.46313799621928
8,DEL BIOBIO,ANTUCO,4440,1872,42.16216216216216
8,DEL BIOBIO,ARAUCO,29925,14354,47.966583124477864
8,DEL BIOBIO,BULNES,20161,9680,48.01349139427607
8,DEL BIOBIO,CABRERO,24289,11042,45.46090823006299
8,DEL BIOBIO,CAÑETE,28748,12048,41.909002365381944
8,DEL BIOBIO,CHIGUAYANTE,64745,33210,51.29353618040003
8,DEL BIOBIO,CHILLAN,148780,71265,47.89958327732222
8,DEL BIOBIO,CHILLAN VIEJO,19940,10444,52.377131394182555
8,DEL BIOBIO,COBQUECURA,5647,2755,48.78696653090137
8,DEL BIOBIO,COELEMU,14930,7747,51.88881446751507
8,DEL BIOBIO,COIHUECO,20925,9835,47.00119474313023
8,DEL BIOBIO,CONCEPCION,199158,97046,48.728145492523524
8,DEL BIOBIO,CONTULMO,5834,2595,44.48063078505314
8,DEL BIOBIO,CORONEL,86427,41697,48.24533999791732
8,DEL BIOBIO,CURANILAHUE,30333,13624,44.91477928328882
8,DEL BIOBIO,EL CARMEN,12165,5664,46.559802712700375
8,DEL BIOBIO,FLORIDA,10199,4922,48.259633297382095
8,DEL BIOBIO,HUALPEN,76227,38059,49.92850302386294
8,DEL BIOBIO,HUALQUI,19339,9086,46.9827809090439
8,DEL BIOBIO,LAJA,21252,9344,43.967626576322225
8,DEL BIOBIO,LEBU,21627,9776,45.20275581449115
8,DEL BIOBIO,LOS ALAMOS,17286,8096,46.83558949438852
8,DEL BIOBIO,LOS ANGELES,156194,66454,42.54580841773692
