Comuna,Inscritos,Votación,participacion_pct
PALENA,2321,1183,50.97
PALMILLA,9986,6015,60.23
PANGUIPULLI,32816,12548,38.24
PANQUEHUE,6137,3611,58.84
PAPUDO,5184,3595,69.35
PAREDONES,6581,4704,71.48
PARRAL,36525,17760,48.62
PEDRO AGUIRRE CERDA,96273,28562,29.67
PELARCO,8040,4564,56.77
PELLUHUE,6895,4973,72.12
PEMUCO,7903,5065,64.09
PENCAHUE,10320,6657,64.51
PENCO,40892,20298,49.64
PERALILLO,9642,5678,58.89
PERQUENCO,6347,3506,55.24
PETORCA,9069,4806,52.99
PEUMO,12311,7252,58.91
PEÑAFLOR,66651,26389,39.59
PEÑALOLEN,183451,50118,27.32
PICA,5100,3143,61.63
PICHIDEGUA,15838,8076,50.99
PICHILEMU,12989,8264,63.62
PINTO,10578,5918,55.95
PIRQUE,20428,8051,39.41
PITRUFQUEN,21681,9403,43.37
PLACILLA,7964,5776,72.53
PORTEZUELO,5878,4090,69.58
PORVENIR,6185,2172,35.12
POZO ALMONTE,11189,5207,46.54
PRIMAVERA,1526,535,35.06
PROVIDENCIA,162963,61479,37.73
PUCHUNCAVI,13809,7753,56.14
PUCON,24455,9075,37.11
PUDAHUEL,161613,38952,24.1
PUENTE ALTO,374571,85296,22.77
PUERTO MONTT,171141,44074,25.75
PUERTO OCTAY,8684,4389,50.54
PUERTO VARAS,36391,15614,42.91
PUMANQUE,3903,2765,70.84
PUNITAQUI,9944,5078,51.07
PUNTA ARENAS,120557,33169,27.51
PUQUELDON,4251,2347,55.21
PUREN,11917,6339,53.19
PURRANQUE,19534,8261,42.29
PUTAENDO,13077,5895,45.08
PUTRE,6369,2575,40.43
PUYEHUE,11002,6022,54.74
QUEILEN,5979,3584,59.94
QUELLON,21077,8828,41.88
QUEMCHI,8752,4514,51.58
QUILACO,4158,2557,61.5
QUILICURA,125232,37075,29.61
QUILLECO,9026,5173,57.31
QUILLON,14641,7806,53.32
QUILLOTA,72390,24566,33.94
QUILPUE,126962,38716,30.49
QUINCHAO,9111,4140,45.44
QUINTA DE TILCOCO,11748,6876,58.53
QUINTA NORMAL,101589,25081,24.69
QUINTERO,22182,11459,51.66
QUIRIHUE,10592,6523,61.58
RANCAGUA,187989,52820,28.1
RANQUIL,5517,3639,65.96
RAUCO,9339,5228,55.98
RECOLETA,140760,41082,29.19
RENAICO,9052,5122,56.58
RENCA,114853,31418,27.35
RENGO,46304,19147,41.35
REQUINOA,21352,9222,43.19
RETIRO,16224,9234,56.92
RINCONADA,8499,5709,67.17
RIO BUENO,29770,12769,42.89
RIO CLARO,11053,6638,60.06
RIO HURTADO,4697,2500,53.23
RIO IBAÑEZ,2797,1875,67.04
RIO NEGRO,13081,6552,50.09
RIO VERDE,898,510,56.79
ROMERAL,13022,6961,53.46
SAAVEDRA,12681,6420,50.63
SAGRADA FAMILIA,15172,9478,62.47
SALAMANCA,21727,9904,45.58
SAN ANTONIO,76843,23717,30.86
SAN BERNARDO,218593,52948,24.22
SAN CARLOS,45668,19067,41.75
SAN CLEMENTE,34887,15953,45.73
SAN ESTEBAN,13995,7495,53.55
SAN FABIAN,4575,2942,64.31
SAN FELIPE,58464,22397,38.31
SAN FERNANDO,60112,24513,40.78
SAN GREGORIO,1201,552,45.96
SAN IGNACIO,13694,7876,57.51
SAN JAVIER,36977,15747,42.59
SAN JOAQUIN,84181,19906,23.65
SAN JOSE DE MAIPO,14613,6254,42.8
SAN JUAN DE LA COSTA,7671,3794,49.46
SAN MIGUEL,97322,26654,27.39
SAN NICOLAS,10450,6815,65.22
SAN PABLO,9698,5167,53.28
SAN PEDRO,7682,4541,59.11
SAN PEDRO DE ATACAMA,5680,3021,53.19
SAN PEDRO DE LA PAZ,78376,26378,33.66
SAN RAFAEL,7698,4701,61.07
SAN RAMON,82969,23550,28.38
SAN ROSENDO,4557,3033,66.56
SAN VICENTE,38216,17464,45.7
SANTA BARBARA,12753,6614,51.86
SANTA CRUZ,29771,13112,44.04
SANTA JUANA,12191,6598,54.12
SANTA MARIA,11362,5468,48.13
SANTIAGO,302535,67509,22.31
SANTO DOMINGO,10370,5560,53.62
SIERRA GORDA,4069,1506,37.01
TALAGANTE,54260,20867,38.46
TALCA,172322,56566,32.83
TALCAHUANO,132514,35393,26.71
TALTAL,9997,4840,48.41
TEMUCO,225121,60001,26.65
TENO,23257,10650,45.79
TEODORO SCHMIDT,13848,7841,56.62
TIERRA AMARILLA,12718,7180,56.46
TILTIL,13602,6169,45.35
TIMAUKEL,1124,592,52.67
TIRUA,8513,5259,61.78
TOCOPILLA,21742,8558,39.36
TOLTEN,10315,5418,52.53
TOME,48557,22104,45.52
TORRES DEL PAINE,1872,1275,68.11
TORTEL,564,383,67.91
TRAIGUEN,18393,8915,48.47
TREHUACO,6182,4677,75.66
TUCAPEL,12281,7456,60.71
VALDIVIA,130664,40949,31.34
VALLENAR,44204,17007,38.47
VALPARAISO,284198,88218,31.04
VICHUQUEN,5041,3811,75.6
VICTORIA,31830,12238,38.45
VICUÑA,21667,11341,52.34
VILCUN,22614,10071,44.53
VILLA ALEGRE,12925,7299,56.47
VILLA ALEMANA,91418,29202,31.94
VILLARRICA,49042,15857,32.33
VITACURA,84393,38006,45.03
VIÑA DEL MAR,294906,78257,26.54
YERBAS BUENAS,13768,7088,51.48
YUMBEL,19484,10707,54.95
YUNGAY,15353,7345,47.84
ZAPALLAR,7244,4240,58.53
ÑIQUEN,10166,5992,58.94
ÑUÑOA,182372,65007,35.65
