Comuna,Inscritos,Votación,participacion_pct
ALGARROBO,11560,5854,50.64
ALHUE,5813,3102,53.36
ALTO BIOBIO,5319,3148,59.18
ALTO DEL CARMEN,4858,2633,54.2
ALTO HOSPICIO,48675,14162,29.1
ANCUD,37520,16194,43.16
ANDACOLLO,11013,5846,53.08
ANGOL,46099,18387,39.89
ANTARTICA,314,9,2.87
ANTOFAGASTA,260299,66201,25.43
ANTUCO,4378,2515,57.45
ARAUCO,29547,13325,45.1
ARICA,168409,48958,29.07
AYSEN,21576,7817,36.23
BUIN,64927,27302,42.05
BULNES,19906,10111,50.79
CABILDO,17704,8745,49.4
CABO DE HORNOS,2017,865,42.89
CABRERO,23844,14003,58.73
CALAMA,122815,34793,28.33
CALBUCO,30439,12203,40.09
CALDERA,13668,6593,48.24
CALERA,43763,17562,40.13
CALERA DE TANGO,20910,10046,48.04
CALLE LARGA,10477,5144,49.1
CAMARONES,4551,2475,54.38
CAMIÑA,2978,1662,55.81
CANELA,8591,5393,62.77
CARAHUE,23709,11698,49.34
CARTAGENA,16962,7709,45.45
CASABLANCA,21105,9464,44.84
CASTRO,38678,13585,35.12
CATEMU,11566,5730,49.54
CAUQUENES,36979,17538,47.43
CAÑETE,28368,12537,44.19
CERRILLOS,67584,21687,32.09
CERRO NAVIA,116423,36545,31.39
CHAITEN,5155,2200,42.68
CHANCO,9209,5976,64.89
CHAÑARAL,11727,5571,47.51
CHEPICA,13299,6864,51.61
CHIGUAYANTE,63907,23787,37.22
CHILE CHICO,6184,2465,39.86
CHILLAN,146514,49509,33.79
CHILLAN VIEJO,19485,8970,46.04
CHIMBARONGO,28809,13793,47.88
CHOLCHOL,9811,5973,60.88
CHONCHI,12160,6726,55.31
CISNES,4165,2192,52.63
COBQUECURA,5735,4311,75.17
COCHAMO,4477,2208,49.32
COCHRANE,3192,1442,45.18
CODEGUA,10712,6211,57.98
COELEMU,14821,9035,60.96
COIHUECO,20525,12066,58.79
COINCO,6704,3684,54.95
COLBUN,16710,9957,59.59
COLCHANE,3765,2140,56.84
COLINA,74843,24238,32.39
COLLIPULLI,21376,10221,47.82
COLTAUCO,14950,7389,49.42
COMBARBALA,12348,6437,52.13
CONCEPCION,198961,56529,28.41
CONCHALI,121265,31374,25.87
CONCON,34300,15455,45.06
CONSTITUCION,38421,18716,48.71
CONTULMO,5779,3560,61.6
COPIAPO,116156,40127,34.55
COQUIMBO,152428,40802,26.77
CORONEL,85044,36532,42.96
CORRAL,5441,3215,59.09
COYHAIQUE,51827,14951,28.85
CUNCO,19297,8577,44.45
CURACAUTIN,20536,6739,32.82
CURACAVI,23570,11377,48.27
CURACO DE VELEZ,3637,2287,62.88
CURANILAHUE,30054,13992,46.56
CURARREHUE,7887,3956,50.16
CUREPTO,10117,5633,55.68
CURICO,110981,41969,37.82
DALCAHUE,11254,5227,46.45
DIEGO DE ALMAGRO,14100,4749,33.68
DOÑIHUE,17206,8511,49.47
EL BOSQUE,139195,32604,23.42
EL CARMEN,12072,7027,58.21
EL MONTE,25688,11824,46.03
EL QUISCO,11176,5692,50.93
EL TABO,9083,5024,55.31
EMPEDRADO,4319,3021,69.95
ERCILLA,7909,4047,51.17
ESTACION CENTRAL,126374,33162,26.24
FLORIDA,10124,5649,55.8
FREIRE,21997,9226,41.94
FREIRINA,5591,3186,56.98
FRESIA,11851,6466,54.56
FRUTILLAR,14843,8239,55.51
FUTALEUFU,3609,1521,42.14
FUTRONO,13700,6541,47.74
GALVARINO,11821,6482,54.83
GENERAL LAGOS,2600,1230,47.31
GORBEA,15308,7209,47.09
GRANEROS,25563,12691,49.65
GUAITECAS,1618,1028,63.54
HIJUELAS,14637,7204,49.22
HUALAIHUE,7931,3938,49.65
HUALAÑE,9232,6141,66.52
HUALPEN,75974,27652,36.4
HUALQUI,18967,8864,46.73
HUARA,9294,2350,25.29
HUASCO,7865,4247,54.0
HUECHURABA,66640,25574,38.38
ILLAPEL,26737,12376,46.29
INDEPENDENCIA,77520,23076,29.77
IQUIQUE,157867,46405,29.39
ISLA DE MAIPO,25244,10601,41.99
ISLA DE PASCUA,5148,2419,46.99
JUAN FERNANDEZ,870,532,61.15
LA CISTERNA,84017,21524,25.62
LA CRUZ,13958,7492,53.68
LA ESTRELLA,3563,2529,70.98
LA FLORIDA,299996,86042,28.68
LA GRANJA,105549,22337,21.16
LA HIGUERA,4168,2464,59.12
LA LIGUA,28904,14640,50.65
LA PINTANA,136563,29068,21.29
LA REINA,90053,33415,37.11
LA SERENA,156538,39209,25.05
LA UNION,34977,14217,40.65
LAGO RANCO,8865,4669,52.67
LAGO VERDE,1301,903,69.41
LAGUNA BLANCA,1014,555,54.73
LAJA,21053,9710,46.12
LAMPA,47225,17498,37.05
LANCO,15542,7239,46.58
LAS CABRAS,18970,10047,52.96
LAS CONDES,246481,89509,36.31
LAUTARO,32327,12259,37.92
LEBU,21406,9493,44.35
LICANTEN,6827,4574,67.0
LIMACHE,36327,13557,37.32
LINARES,79055,26492,33.51
LITUECHE,5899,4098,69.47
LLANQUIHUE,15420,8282,53.71
LLAY-LLAY,19766,8517,43.09
LO BARNECHEA,71512,30348,42.44
LO ESPEJO,93841,22518,24.0
LO PRADO,90731,22653,24.97
LOLOL,6482,4211,64.96
LONCOCHE,22151,8940,40.36
LONGAVI,25285,14831,58.66
LONQUIMAY,11560,6182,53.48
LOS ALAMOS,17032,9685,56.86
LOS ANDES,54356,19870,36.56
LOS ANGELES,153106,46636,30.46
LOS LAGOS,18099,7960,43.98
LOS MUERMOS,15456,7281,47.11
LOS SAUCES,7367,4718,64.04
LOS VILOS,17288,7464,43.17
LOTA,48045,24344,50.67
LUMACO,9016,5296,58.74
MACHALI,31590,13460,42.61
MACUL,99299,30828,31.05
MAFIL,6776,3487,51.46
MAIPU,370091,102399,27.67
MALLOA,11722,6923,59.06
MARCHIGUE,6523,3932,60.28
MARIA ELENA,6656,2263,34.0
MARIA PINTO,10249,5385,52.54
MARIQUINA,17661,8804,49.85
MAULE,19549,9340,47.78
MAULLIN,15080,6772,44.91
MEJILLONES,9003,4720,52.43
MELIPEUCO,7207,3440,47.73
MELIPILLA,90966,29762,32.72
MOLINA,37419,19239,51.42
MONTE PATRIA,26550,11552,43.51
MOSTAZAL,19381,10303,53.16
MULCHEN,25929,13264,51.16
NACIMIENTO,23950,11867,49.55
NANCAGUA,14494,7499,51.74
NATALES,21128,7244,34.29
NAVIDAD,5669,3473,61.26
NEGRETE,8530,5370,62.95
NINHUE,6157,4357,70.76
NOGALES,19101,9073,47.5
NUEVA IMPERIAL,29637,13596,45.88
O'HIGGINS,740,430,58.11
OLIVAR,11723,6167,52.61
OLLAGUE,2202,1078,48.96
OLMUE,14850,7953,53.56
OSORNO,138682,37468,27.02
OVALLE,87001,30352,34.89
PADRE HURTADO,37889,14833,39.15
PADRE LAS CASAS,54530,16276,29.85
PAIHUANO,4727,2994,63.34
PAILLACO,18478,8792,47.58
PAINE,47780,18773,39.29
