Comuna,Inscritos,Votantes,participacion_pct
ALGARROBO,16768,14697.0,87.65
ALHUE,6193,5370.0,86.71
ALTO BIOBIO,5472,4558.0,83.3
ALTO DEL CARMEN,4834,4070.0,84.2
ALTO HOSPICIO,67277,56053.0,83.32
ANCUD,38410,32304.0,84.1
ANDACOLLO,11211,9880.0,88.13
ANGOL,46964,40620.0,86.49
ANTARTICA,146,47.0,32.19
ANTOFAGASTA,298786,245781.0,82.26
ANTUCO,4550,3669.0,80.64
ARAUCO,31590,28582.0,90.48
ARICA,185402,147902.0,79.77
AYSEN,22555,16808.0,74.52
BUIN,84867,77424.0,91.23
BULNES,21050,18660.0,88.65
CABILDO,17976,16047.0,89.27
CABO DE HORNOS(EX-NAVARINO),1662,1024.0,61.61
CABRERO,26578,24052.0,90.5
CALAMA,130877,104723.0,80.02
CALBUCO,33192,27091.0,81.62
CALDERA,15855,13441.0,84.77
CALERA,44916,39236.0,87.35
CALERA DE TANGO,22624,20511.0,90.66
CALLE LARGA,12202,11072.0,90.74
CAMARONES,2327,1600.0,68.76
CAMIÑA,2110,1354.0,64.17
CANELA,9297,7734.0,83.19
CARAHUE,24052,19515.0,81.14
CARTAGENA,21094,18388.0,87.17
CASABLANCA,24102,21601.0,89.62
CASTRO,42265,34428.0,81.46
CATEMU,12311,11216.0,91.11
CAUQUENES,37627,33217.0,88.28
CAÑETE,29941,26019.0,86.9
CERRILLOS,64604,55693.0,86.21
CERRO NAVIA,109502,95042.0,86.79
CHAITEN,4779,3176.0,66.46
CHANCO,9000,8068.0,89.64
CHAÑARAL,11304,9099.0,80.49
CHEPICA,14060,13017.0,92.58
CHIGUAYANTE,69321,61997.0,89.43
CHILE CHICO,6277,3469.0,55.27
CHILLAN,158289,139601.0,88.19
CHILLAN VIEJO,24162,22332.0,92.43
CHIMBARONGO,31350,29104.0,92.84
CHOLCHOL,11731,9961.0,84.91
CHONCHI,13891,11592.0,83.45
CISNES,4767,3634.0,76.23
COBQUECURA,5683,5004.0,88.05
COCHAMO,4588,3509.0,76.48
COCHRANE,3332,2292.0,68.79
CODEGUA,11887,11053.0,92.98
COELEMU,15031,13493.0,89.77
COIHUECO,23593,21649.0,91.76
COINCO,7566,6936.0,91.67
COLBUN,19885,17790.0,89.46
COLCHANE,2191,966.0,44.09
COLINA,104034,91276.0,87.74
