Comuna,Inscritos,Votantes,participacion_pct
COLLIPULLI,22078,18962.0,85.89
COLTAUCO,17299,15960.0,92.26
COMBARBALA,12203,10012.0,82.05
CONCEPCION,200659,167370.0,83.41
CONCHALI,112086,94220.0,84.06
CONCON,45309,39684.0,87.59
CONSTITUCION,40096,36007.0,89.8
CONTULMO,5981,4959.0,82.91
COPIAPO,126552,107696.0,85.1
COQUIMBO,186504,160688.0,86.16
CORONEL,93118,82023.0,88.09
CORRAL,5537,4431.0,80.03
COYHAIQUE,54147,39563.0,73.07
CUNCO,20394,15259.0,74.82
CURACAUTIN,20856,14450.0,69.28
CURACAVI,29200,26515.0,90.8
CURACO DE VELEZ,3691,3025.0,81.96
CURANILAHUE,29436,25665.0,87.19
CURARREHUE,8858,6464.0,72.97
CUREPTO,10056,8939.0,88.89
CURICO,124339,112558.0,90.53
DALCAHUE,13598,11460.0,84.28
DIEGO DE ALMAGRO,11638,8276.0,71.11
DOÑIHUE,19136,17589.0,91.92
EL BOSQUE,132441,116107.0,87.67
EL CARMEN,12424,10980.0,88.38
EL MONTE,29306,27039.0,92.26
EL QUISCO,17007,14874.0,87.46
EL TABO,15556,13920.0,89.48
EMPEDRADO,4232,3867.0,91.38
ERCILLA,7763,6284.0,80.95
ESTACION CENTRAL,126571,95979.0,75.83
FLORIDA,10981,9962.0,90.72
FREIRE,23403,19997.0,85.45
FREIRINA,6141,5224.0,85.07
FRESIA,12431,10818.0,87.02
FRUTILLAR,19030,16680.0,87.65
FUTALEUFU,3891,2094.0,53.82
FUTRONO,15326,12730.0,83.06
GALVARINO,11945,10103.0,84.58
GENERAL LAGOS,1335,540.0,40.45
GORBEA,15309,12331.0,80.55
GRANEROS,27974,25627.0,91.61
GUAITECAS,1549,1088.0,70.24
HIJUELAS,16266,14905.0,91.63
HUALAIHUE,9096,7672.0,84.34
HUALAÑE,9818,8903.0,90.68
HUALPEN,77172,69622.0,90.22
HUALQUI,21377,19233.0,89.97
HUARA,3963,2563.0,64.67
HUASCO,8586,7147.0,83.24
HUECHURABA,76769,68309.0,88.98
ILLAPEL,28086,23916.0,85.15
INDEPENDENCIA,87902,64687.0,73.59
IQUIQUE,164754,129298.0,78.48
ISLA DE MAIPO,30313,27826.0,91.8
ISLA DE PASCUA,6577,3378.0,51.36
JUAN FERNANDEZ,849,508.0,59.84
LA CISTERNA,80989,66604.0,82.24
LA CRUZ,17950,16279.0,90.69
LA ESTRELLA,4116,3775.0,91.72
LA FLORIDA,307628,271089.0,88.12
LA GRANJA,98192,84882.0,86.44
LA HIGUERA,4627,3879.0,83.83
LA LIGUA,32013,28990.0,90.56
LA PINTANA,135361,117469.0,86.78
LA REINA,89413,75149.0,84.05
LA SERENA,194747,166529.0,85.51
LA UNION,35616,30585.0,85.87
LAGO RANCO,10440,8746.0,83.77
LAGO VERDE,1050,690.0,65.71
LAGUNA BLANCA,632,441.0,69.78
LAJA,21576,18313.0,84.88
LAMPA,72238,65049.0,90.05
LANCO,16928,13958.0,82.46
LAS CABRAS,22506,20622.0,91.63
LAS CONDES,279276,215575.0,77.19
LAUTARO,35806,30608.0,85.48
LEBU,21987,19032.0,86.56
LICANTEN,6869,6070.0,88.37
LIMACHE,42520,37495.0,88.18
LINARES,84138,74501.0,88.55
LITUECHE,7573,6962.0,91.93
LLANQUIHUE,16666,14780.0,88.68
LLAY-LLAY,21495,19462.0,90.54
LO BARNECHEA,89065,74934.0,84.13
LO ESPEJO,83875,71678.0,85.46
LO PRADO,83297,71702.0,86.08
LOLOL,7163,6509.0,90.87
LONCOCHE,23860,19249.0,80.67
LONGAVI,28866,26290.0,91.08
LONQUIMAY,11947,8384.0,70.18
LOS ALAMOS,18599,16535.0,88.9
LOS ANDES,56337,48798.0,86.62
LOS ANGELES,172822,153912.0,89.06
LOS LAGOS,19372,16180.0,83.52
LOS MUERMOS,16752,14769.0,88.16
LOS SAUCES,7112,6131.0,86.21
LOS VILOS,19374,16329.0,84.28
LOTA,45339,38408.0,84.71
LUMACO,8686,7346.0,84.57
MACHALI,41924,38052.0,90.76
MACUL,100037,86270.0,86.24
MAFIL,7444,6245.0,83.89
MAIPU,397158,357502.0,90.02
MALLOA,12714,11773.0,92.6
MARCHIGUE,7716,7078.0,91.73
MARIA ELENA,5156,3275.0,63.52
MARIA PINTO,12817,11960.0,93.31
MARIQUINA,20109,17071.0,84.89
MAULE,29589,27509.0,92.97
MAULLIN,15113,12446.0,82.35
MEJILLONES,10402,8587.0,82.55
MELIPEUCO,7811,5429.0,69.5
MELIPILLA,103499,93419.0,90.26
MOLINA,40942,37238.0,90.95
MONTE PATRIA,27935,23576.0,84.4
MOSTAZAL,22339,20665.0,92.51
MULCHEN,26385,22922.0,86.88
NACIMIENTO,24159,21193.0,87.72
NANCAGUA,15629,14430.0,92.33
NATALES,23552,16357.0,69.45
NAVIDAD,7783,7007.0,90.03
NEGRETE,9448,8314.0,88.0
NINHUE,5725,4991.0,87.18
NOGALES,19863,17761.0,89.42
NUEVA IMPERIAL,31269,26453.0,84.6
O'HIGGINS,706,410.0,58.07
OLIVAR,12905,11943.0,92.55
OLLAGUE,1339,830.0,61.99
OLMUE,17477,15634.0,89.45
OSORNO,144582,122984.0,85.06
OVALLE,94608,81958.0,86.63
PADRE HURTADO,53594,49477.0,92.32
PADRE LAS CASAS,62650,55047.0,87.86
PAIHUANO,5183,4404.0,84.97
PAILLACO,19774,16571.0,83.8
PAINE,59547,54398.0,91.35
PALENA,2202,1360.0,61.76
PALMILLA,10938,10269.0,93.88
PANGUIPULLI,36987,28694.0,77.58
PANQUEHUE,6776,6278.0,92.65
PAPUDO,6801,6134.0,90.19
PAREDONES,7142,6311.0,88.36
PARRAL,38793,34504.0,88.94
PEDRO AGUIRRE CERDA,87895,75903.0,86.36
PELARCO,9226,8443.0,91.51
PELLUHUE,8046,7144.0,88.79
PEMUCO,8202,7336.0,89.44
PENCAHUE,10046,9215.0,91.73
PENCO,42627,38375.0,90.03
PERALILLO,10635,9740.0,91.58
PERQUENCO,6859,5982.0,87.21
PETORCA,9337,8098.0,86.73
PEUMO,13037,11952.0,91.68
PEÑAFLOR,74784,67217.0,89.88
PEÑALOLEN,188502,165795.0,87.95
PICA,5545,4553.0,82.11
PICHIDEGUA,17706,16413.0,92.7
PICHILEMU,18489,16044.0,86.78
PINTO,12136,10881.0,89.66
PIRQUE,24879,22562.0,90.69
PITRUFQUEN,24185,20156.0,83.34
PLACILLA,8510,7985.0,93.83
PORTEZUELO,5572,4862.0,87.26
PORVENIR,5911,3958.0,66.96
POZO ALMONTE,12022,9306.0,77.41
PRIMAVERA,942,435.0,46.18
PROVIDENCIA,168698,120099.0,71.19
PUCHUNCAVI,19274,17229.0,89.39
PUCON,32564,24960.0,76.65
PUDAHUEL,173594,154392.0,88.94
PUENTE ALTO,413938,369031.0,89.15
PUERTO MONTT,203771,175912.0,86.33
PUERTO OCTAY,9048,7737.0,85.51
PUERTO VARAS,47218,40007.0,84.73
PUMANQUE,4309,3841.0,89.14
PUNITAQUI,11030,9380.0,85.04
PUNTA ARENAS,121590,94326.0,77.58
PUQUELDON,4243,3293.0,77.61
PUREN,11861,9950.0,83.89
PURRANQUE,19497,16483.0,84.54
PUTAENDO,14444,13015.0,90.11
PUTRE,3568,1975.0,55.35
PUYEHUE,12005,10511.0,87.56
QUEILEN,5913,4450.0,75.26
QUELLON,24121,19857.0,82.32
QUEMCHI,8861,6866.0,77.49
QUILACO,4405,3819.0,86.7
QUILICURA,149482,132029.0,88.32
QUILLECO,9483,8342.0,87.97
QUILLON,17055,15154.0,88.85
QUILLOTA,78125,67643.0,86.58
QUILPUE,140929,120544.0,85.54
QUINCHAO,8725,6092.0,69.82
QUINTA DE TILCOCO,12697,11524.0,90.76
QUINTA NORMAL,101530,82056.0,80.82
QUINTERO,27452,23664.0,86.2
QUIRIHUE,10658,9477.0,88.92
RANCAGUA,199569,177076.0,88.73
RANQUIL,5936,5290.0,89.12
RAUCO,10318,9651.0,93.54
RECOLETA,136311,110824.0,81.3
RENAICO,9791,8516.0,86.98
RENCA,114250,99450.0,87.05
RENGO,50787,46278.0,91.12
REQUINOA,24194,22395.0,92.56
RETIRO,18856,17329.0,91.9
RINCONADA,10083,9251.0,91.75
RIO BUENO,30558,25781.0,84.37
RIO CLARO,12877,11972.0,92.97
RIO HURTADO,4723,3947.0,83.57
RIO IBAÑEZ,3011,2196.0,72.93
RIO NEGRO,13171,11311.0,85.88
RIO VERDE,584,382.0,65.41
ROMERAL,14624,13553.0,92.68
SAAVEDRA,12949,10081.0,77.85
SAGRADA FAMILIA,16635,15506.0,93.21
SALAMANCA,24166,20743.0,85.84
SAN ANTONIO,80275,70405.0,87.7
SAN BERNARDO,229901,199289.0,86.68
SAN CARLOS,48306,42698.0,88.39
SAN CLEMENTE,39301,35656.0,90.73
SAN ESTEBAN,16083,14691.0,91.34
SAN FABIAN,5293,4544.0,85.85
SAN FELIPE,61081,53564.0,87.69
SAN FERNANDO,64141,57628.0,89.85
SAN GREGORIO,537,308.0,57.36
SAN IGNACIO,15254,13807.0,90.51
SAN JAVIER,41445,37337.0,90.09
SAN JOAQUIN,79478,68263.0,85.89
SAN JOSE DE MAIPO,16129,14043.0,87.07
SAN JUAN DE LA COSTA,8269,7052.0,85.28
SAN MIGUEL,110888,85756.0,77.34
SAN NICOLAS,12594,11491.0,91.24
SAN PABLO,10084,8875.0,88.01
SAN PEDRO,8979,8183.0,91.13
SAN PEDRO DE ATACAMA,7858,6070.0,77.25
SAN PEDRO DE LA PAZ,98766,89020.0,90.13
SAN RAFAEL,9423,8684.0,92.16
SAN RAMON,75357,65417.0,86.81
SAN ROSENDO,4095,3471.0,84.76
SAN VICENTE,42127,38519.0,91.44
SANTA BARBARA,13386,11433.0,85.41
SANTA CRUZ,33124,30085.0,90.83
SANTA JUANA,13193,11917.0,90.33
SANTA MARIA,12640,11626.0,91.98
SANTIAGO,364390,236439.0,64.89
SANTO DOMINGO,13086,11935.0,91.2
SIERRA GORDA,1807,1142.0,63.2
TALAGANTE,61001,55171.0,90.44
TALCA,187163,167445.0,89.46
TALCAHUANO,129817,112075.0,86.33
TALTAL,10208,8011.0,78.48
TEMUCO,244392,204555.0,83.7
TENO,26257,24288.0,92.5
TEODORO SCHMIDT,14295,12203.0,85.37
TIERRA AMARILLA,12273,10391.0,84.67
TILTIL,15633,14131.0,90.39
TIMAUKEL,488,144.0,29.51
TIRUA,9045,7659.0,84.68
TOCOPILLA,21484,17033.0,79.28
TOLTEN,10337,8174.0,79.08
TOME,50418,44343.0,87.95
TORRES DEL PAINE,1260,939.0,74.52
TORTEL,571,397.0,69.53
TRAIGUEN,17860,14968.0,83.81
TREHUACO,5882,5246.0,89.19
TUCAPEL,13765,12106.0,87.95
VALDIVIA,144650,121568.0,84.04
VALLENAR,45964,39090.0,85.04
VALPARAISO,282761,221379.0,78.29
VICHUQUEN,4837,4289.0,88.67
VICTORIA,32072,26692.0,83.23
VICUÑA,24422,21315.0,87.28
VILCUN,25770,21660.0,84.05
VILLA ALEGRE,14612,13135.0,89.89
VILLA ALEMANA,108316,94450.0,87.2
VILLARRICA,61793,49635.0,80.32
VITACURA,87147,69218.0,79.43
VIÑA DEL MAR,307543,250571.0,81.48
YERBAS BUENAS,16380,15186.0,92.71
YUMBEL,20807,18367.0,88.27
YUNGAY,17008,15158.0,89.12
ZAPALLAR,9745,8817.0,90.48
ÑIQUEN,11271,9998.0,88.71
ÑUÑOA,205525,170772.0,83.09
