Comuna,Inscritos,Votos,participacion_pct
VALPARAISO,282300,220340,78.05
VICHUQUEN,5119,4589,89.65
VICTORIA,32139,27007,84.03
VICUÑA,24889,21846,87.77
VILCUN,26107,22286,85.36
VILLA ALEGRE,15139,13718,90.61
VILLA ALEMANA,109798,95757,87.21
VILLARRICA,62660,50267,80.22
VITACURA,87035,66645,76.57
VIÑA DEL MAR,308410,249912,81.03
YERBAS BUENAS,17018,15794,92.81
YUMBEL,21164,18755,88.62
YUNGAY,17236,15445,89.61
ZAPALLAR,10293,9202,89.4
ÑIQUEN,11625,10425,89.68
ÑUÑOA,209609,172638,82.36
