Comuna,Inscritos,Votantes,participacion_pct
TREHUACO,5628,4443.0,78.94
TUCAPEL,11955,7694.0,64.36
VALDIVIA,124303,47415.0,38.14
VALLENAR,42582,18142.0,42.6
VALPARAISO,281414,93410.0,33.19
VICHUQUEN,4898,3619.0,73.89
VICTORIA,31243,14506.0,46.43
VICUÑA,20358,10966.0,53.87
VILCUN,21797,11280.0,51.75
VILLA ALEGRE,12562,7392.0,58.84
VILLA ALEMANA,83042,30414.0,36.62
VILLARRICA,46640,18834.0,40.38
VITACURA,78474,35234.0,44.9
VIÑA DEL MAR,286203,101438.0,35.44
YERBAS BUENAS,13486,8576.0,63.59
YUMBEL,19184,11775.0,61.38
YUNGAY,14972,8922.0,59.59
ZAPALLAR,6930,4361.0,62.93
ÑIQUEN,10039,6466.0,64.41
ÑUÑOA,173848,78788.0,45.32
