Comuna,Inscritos,Votos,participacion_pct
PUCON,27403,11375,41.51
PUDAHUEL,168418,99725,59.21
PUENTE ALTO,398965,232278,58.22
PUERTO MONTT,184367,88316,47.9
PUERTO OCTAY,8891,3591,40.39
PUERTO VARAS,41030,21854,53.26
PUMANQUE,3859,1574,40.79
PUNITAQUI,10557,4183,39.62
PUNTA ARENAS,122555,54128,44.17
PUQUELDON,4347,1194,27.47
PUREN,12182,4289,35.21
PURRANQUE,19775,7891,39.9
PUTAENDO,13859,7246,52.28
PUTRE,5554,1075,19.36
PUYEHUE,11456,4693,40.97
QUEILEN,6041,1494,24.73
QUELLON,22566,8657,38.36
QUEMCHI,8966,2324,25.92
QUILACO,4255,1554,36.52
QUILICURA,138256,84048,60.79
QUILLECO,9309,3240,34.81
QUILLON,15370,5913,38.47
QUILLOTA,75056,39004,51.97
QUILPUE,133318,74059,55.55
QUINCHAO,9241,2989,32.34
QUINTA DE TILCOCO,12324,6460,52.42
QUINTA NORMAL,102553,55219,53.84
QUINTERO,24237,12943,53.4
QUIRIHUE,10935,3986,36.45
RANCAGUA,194541,107084,55.04
RANQUIL,5541,2199,39.69
RAUCO,9726,4217,43.36
RECOLETA,143902,76388,53.08
RENAICO,9497,3745,39.43
RENCA,117169,65224,55.67
RENGO,48249,24849,51.5
REQUINOA,22679,12078,53.26
RETIRO,17155,5206,30.35
RINCONADA,9195,5434,59.1
RIO BUENO,30616,11648,38.05
RIO CLARO,11633,4797,41.24
RIO HURTADO,4690,1638,34.93
RIO IBAÑEZ,2861,932,32.58
RIO NEGRO,13243,5288,39.93
RIO VERDE,771,183,23.74
ROMERAL,13699,6344,46.31
SAAVEDRA,13030,4021,30.86
SAGRADA FAMILIA,15801,7659,48.47
SALAMANCA,23171,10523,45.41
SAN ANTONIO,78551,44040,56.07
SAN BERNARDO,228270,119822,52.49
SAN CARLOS,47391,18120,38.24
SAN CLEMENTE,36760,14892,40.51
SAN ESTEBAN,14902,8639,57.97
SAN FABIAN,4841,1898,39.21
SAN FELIPE,60048,33389,55.6
SAN FERNANDO,62749,33308,53.08
SAN GREGORIO,901,205,22.75
SAN IGNACIO,14396,4950,34.38
SAN JAVIER,38960,15427,39.6
SAN JOAQUIN,83179,48221,57.97
SAN JOSE DE MAIPO,15619,8929,57.17
SAN JUAN DE LA COSTA,7858,3177,40.43
SAN MIGUEL,104331,57222,54.85
SAN NICOLAS,11446,4741,41.42
SAN PABLO,9857,4091,41.5
SAN PEDRO,8246,3029,36.73
SAN PEDRO DE ATACAMA,6928,3337,48.17
SAN PEDRO DE LA PAZ,87799,49632,56.53
SAN RAFAEL,8277,3756,45.38
SAN RAMON,82360,45247,54.94
SAN ROSENDO,4390,1958,44.6
SAN VICENTE,40357,19897,49.3
SANTA BARBARA,13245,4658,35.17
SANTA CRUZ,31031,13556,43.69
SANTA JUANA,12566,5142,40.92
SANTA MARIA,11930,6466,54.2
SANTIAGO,337288,149864,44.43
SANTO DOMINGO,10898,6623,60.77
SIERRA GORDA,3166,856,27.04
TALAGANTE,57618,34530,59.93
TALCA,179416,96924,54.02
TALCAHUANO,132833,67865,51.09
TALTAL,10408,4665,44.82
TEMUCO,235933,117020,49.6
TENO,24650,10365,42.05
TEODORO SCHMIDT,13991,4819,34.44
TIERRA AMARILLA,12762,5785,45.33
TILTIL,14369,8051,56.03
TIMAUKEL,829,94,11.34
TIRUA,9101,3094,34.0
TOCOPILLA,22316,10288,46.1
TOLTEN,10544,3398,32.23
TOME,49622,23520,47.4
TORRES DEL PAINE,1734,592,34.14
TORTEL,546,207,37.91
TRAIGUEN,18666,6402,34.3
TREHUACO,5883,2115,35.95
TUCAPEL,12890,5257,40.78
VALDIVIA,137420,75159,54.69
VALLENAR,45465,21075,46.35
VALPARAISO,290851,148145,50.94
VICHUQUEN,5097,2232,43.79
VICTORIA,32578,12373,37.98
VICUÑA,23097,10857,47.01
VILCUN,23981,9119,38.03
VILLA ALEGRE,13509,5435,40.23
VILLA ALEMANA,96896,53381,55.09
VILLARRICA,53705,21750,40.5
VITACURA,88737,60325,67.98
VIÑA DEL MAR,301101,160831,53.41
YERBAS BUENAS,14545,5606,38.54
YUMBEL,19862,7476,37.64
YUNGAY,16167,6891,42.62
ZAPALLAR,7930,4909,61.9
ÑIQUEN,10388,3259,31.37
ÑUÑOA,195466,125508,64.21
