Comuna,Inscritos,Votos,participacion_pct
ALGARROBO,12896,7086,54.95
ALHUE,6004,2640,43.97
ALTO BIOBIO,5483,1805,32.92
ALTO DEL CARMEN,4871,1817,37.3
ALTO HOSPICIO,57742,26258,45.47
ANCUD,38601,14360,37.2
ANDACOLLO,11221,6071,54.1
ANGOL,47395,19520,41.19
ANTARTICA,269,31,11.52
ANTOFAGASTA,284389,144079,50.66
ANTUCO,4558,1793,39.34
ARAUCO,30844,14467,46.9
ARICA,180315,84326,46.77
AYSEN,22398,8984,40.11
BUIN,73511,40587,55.21
BULNES,20518,7803,38.03
CABILDO,18037,9099,50.45
CABO DE HORNOS(EX-NAVARINO),1916,645,33.66
CABRERO,24926,10044,40.3
CALAMA,132447,62783,47.4
CALBUCO,31956,11282,35.3
CALDERA,14652,7985,54.5
CALERA,44986,24125,53.63
CALERA DE TANGO,22016,12750,57.91
CALLE LARGA,11265,6609,58.67
CAMARONES,3471,919,26.48
CAMIÑA,2549,513,20.13
CANELA,8913,3781,42.42
CARAHUE,24601,7262,29.52
CARTAGENA,17721,9075,51.21
CASABLANCA,22139,11508,51.98
CASTRO,41089,16660,40.55
CATEMU,12039,5965,49.55
CAUQUENES,37616,13060,34.72
CAÑETE,29343,10523,35.86
CERRILLOS,67845,37318,55.0
CERRO NAVIA,116544,64083,54.99
CHAITEN,5065,1363,26.91
CHANCO,9250,2899,31.34
CHAÑARAL,11989,5760,48.04
CHEPICA,13593,4915,36.16
CHIGUAYANTE,66892,38312,57.27
CHILE CHICO,6387,1685,26.38
CHILLAN,152870,75892,49.64
CHILLAN VIEJO,21631,11274,52.12
CHIMBARONGO,30271,13802,45.59
CHOLCHOL,10384,4218,40.62
CHONCHI,12960,3638,28.07
CISNES,4479,1740,38.85
COBQUECURA,5643,2075,36.77
COCHAMO,4479,1159,25.88
COCHRANE,3360,1181,35.15
CODEGUA,11297,5932,52.51
COELEMU,15253,6790,44.52
COIHUECO,21839,7229,33.1
COINCO,7011,3346,47.73
COLBUN,17932,6924,38.61
COLCHANE,2995,524,17.5
COLINA,87987,49452,56.2
COLLIPULLI,21994,8340,37.92
COLTAUCO,15903,7545,47.44
COMBARBALA,12460,5064,40.64
CONCEPCION,201159,104579,51.99
CONCHALI,119859,65706,54.82
CONCON,38162,24384,63.9
CONSTITUCION,39911,18307,45.87
CONTULMO,6025,2094,34.76
COPIAPO,123347,61103,49.54
COQUIMBO,165547,82530,49.85
CORONEL,88986,44286,49.77
CORRAL,5446,2379,43.68
COYHAIQUE,53940,22512,41.74
CUNCO,19878,6082,30.6
CURACAUTIN,20992,5922,28.21
CURACAVI,25834,14789,57.25
CURACO DE VELEZ,3714,1315,35.41
CURANILAHUE,30642,13158,42.94
CURARREHUE,8322,2655,31.9
CUREPTO,10149,3560,35.08
CURICO,117175,63015,53.78
DALCAHUE,12332,4012,32.53
DIEGO DE ALMAGRO,13455,5410,40.21
DOÑIHUE,18060,9423,52.18
EL BOSQUE,138923,75831,54.58
EL CARMEN,12336,3774,30.59
EL MONTE,27418,15075,54.98
EL QUISCO,12914,7241,56.07
EL TABO,10307,5842,56.68
EMPEDRADO,4357,1513,34.73
ERCILLA,8058,2593,32.18
ESTACION CENTRAL,127362,62940,49.42
FLORIDA,10269,3757,36.59
FREIRE,22759,7670,33.7
FREIRINA,5899,2701,45.79
FRESIA,12123,4683,38.63
FRUTILLAR,16376,7908,48.29
FUTALEUFU,3794,965,25.43
FUTRONO,14439,5732,39.7
GALVARINO,11998,3537,29.48
GENERAL LAGOS,2158,313,14.5
GORBEA,15478,5419,35.01
GRANEROS,26614,15292,57.46
GUAITECAS,1594,607,38.08
HIJUELAS,15422,7648,49.59
HUALAIHUE,8395,2871,34.2
HUALAÑE,9580,4118,42.99
HUALPEN,77416,43524,56.22
HUALQUI,20096,9427,46.91
HUARA,9041,1529,16.91
HUASCO,8326,4236,50.88
HUECHURABA,72756,45959,63.17
ILLAPEL,27634,12633,45.72
INDEPENDENCIA,81550,38471,47.17
IQUIQUE,167867,80371,47.88
ISLA DE MAIPO,27290,15226,55.79
ISLA DE PASCUA,6053,2726,45.04
JUAN FERNANDEZ,917,439,47.87
LA CISTERNA,83559,45847,54.87
LA CRUZ,15760,9006,57.14
LA ESTRELLA,3456,1484,42.94
LA FLORIDA,307743,182589,59.33
LA GRANJA,104909,57326,54.64
LA HIGUERA,4286,1564,36.49
LA LIGUA,30147,16001,53.08
LA PINTANA,139554,73723,52.83
LA REINA,91690,59183,64.55
LA SERENA,172217,90124,52.33
LA UNION,35500,14908,41.99
LAGO RANCO,9253,3348,36.18
LAGO VERDE,1159,373,32.18
LAGUNA BLANCA,826,201,24.33
LAJA,21446,9327,43.49
LAMPA,57086,31541,55.25
LANCO,16031,6697,41.78
LAS CABRAS,19945,8668,43.46
LAS CONDES,267875,166543,62.17
LAUTARO,34059,12915,37.92
LEBU,22183,8516,38.39
LICANTEN,6838,2929,42.83
LIMACHE,38584,20221,52.41
LINARES,81791,35878,43.87
LITUECHE,6158,2529,41.07
LLANQUIHUE,16021,7811,48.75
LLAY-LLAY,20722,11645,56.2
LO BARNECHEA,81361,55258,67.92
LO ESPEJO,91888,50594,55.06
LO PRADO,89765,51366,57.22
LOLOL,6714,2433,36.24
LONCOCHE,23045,8237,35.74
LONGAVI,26445,7859,29.72
LONQUIMAY,11965,3349,27.99
LOS ALAMOS,17835,6650,37.29
LOS ANDES,56032,31276,55.82
LOS ANGELES,161632,68745,42.53
LOS LAGOS,18879,7512,39.79
LOS MUERMOS,16238,5116,31.51
LOS SAUCES,7360,2495,33.9
LOS VILOS,18062,8875,49.14
LOTA,47952,22943,47.85
LUMACO,9145,2979,32.58
MACHALI,35712,20932,58.61
MACUL,101724,60392,59.37
MAFIL,6998,2853,40.77
MAIPU,389595,243115,62.4
MALLOA,12101,5435,44.91
MARCHIGUE,6787,2926,43.11
MARIA ELENA,6451,2138,33.14
MARIA PINTO,11262,5473,48.6
MARIQUINA,18622,7772,41.74
MAULE,22765,10877,47.78
MAULLIN,15355,5095,33.18
MEJILLONES,9825,5128,52.19
MELIPEUCO,7512,2159,28.74
MELIPILLA,96589,43097,44.62
MOLINA,38926,19214,49.36
MONTE PATRIA,27916,11192,40.09
MOSTAZAL,20649,11438,55.39
MULCHEN,26725,10136,37.93
NACIMIENTO,24636,10403,42.23
NANCAGUA,15115,7059,46.7
NATALES,22396,7798,34.82
NAVIDAD,6291,2914,46.32
NEGRETE,8912,3704,41.56
NINHUE,6027,1920,31.86
NOGALES,19641,10812,55.05
NUEVA IMPERIAL,30516,12100,39.65
O'HIGGINS,714,236,33.05
OLIVAR,12305,6485,52.7
OLLAGUE,1788,379,21.2
OLMUE,16111,8031,49.85
OSORNO,142947,70256,49.15
OVALLE,91515,40319,44.06
PADRE HURTADO,42789,26116,61.03
PADRE LAS CASAS,57937,24121,41.63
PAIHUANO,5122,2414,47.13
PAILLACO,19020,7673,40.34
PAINE,52520,27951,53.22
PALENA,2341,636,27.17
PALMILLA,10300,4336,42.1
PANGUIPULLI,34621,12449,35.96
PANQUEHUE,6371,3588,56.32
PAPUDO,5643,3499,62.01
PAREDONES,6660,2471,37.1
PARRAL,37730,14897,39.48
PEDRO AGUIRRE CERDA,94170,55710,59.16
PELARCO,8385,3391,40.44
PELLUHUE,7375,2917,39.55
PEMUCO,8132,2880,35.42
PENCAHUE,10232,4169,40.74
PENCO,42048,23135,55.02
PERALILLO,10058,4540,45.14
PERQUENCO,6631,2553,38.5
PETORCA,9320,4639,49.77
PEUMO,12719,6230,48.98
PEÑAFLOR,71945,43190,60.03
PEÑALOLEN,192235,115226,59.94
PICA,5460,2435,44.6
PICHIDEGUA,16499,6471,39.22
PICHILEMU,14981,7618,50.85
PINTO,11019,4300,39.02
PIRQUE,21736,13102,60.28
PITRUFQUEN,22765,8567,37.63
PLACILLA,8118,3945,48.6
PORTEZUELO,5758,2038,35.39
PORVENIR,6156,1866,30.31
POZO ALMONTE,11866,4846,40.84
PRIMAVERA,1265,253,20.0
PROVIDENCIA,169757,94109,55.44
PUCHUNCAVI,15245,8659,56.8
